"Team","Gms","TotPts","PtsG","RushYds","RYdsG","PassYds","PYdsG","TotYds","YdsG"
"Los Angeles Rams",16,296,18.5,1460,91.3,3051,190.7,4511,281.9
"Washington Football Team",16,329,20.6,1805,112.8,3068,191.8,4873,304.6
"Pittsburgh Steelers",16,312,19.5,1783,111.4,3110,194.4,4893,305.8
"New Orleans Saints",16,337,21.1,1502,93.9,3472,217,4974,310.9
"San Francisco 49ers",16,390,24.4,1703,106.4,3327,208,5030,314.4
"Tampa Bay Buccaneers",16,355,22.2,1289,80.6,3945,246.6,5234,327.1
"Baltimore Ravens",16,303,18.9,1740,108.8,3536,221,5276,329.8
"Indianapolis Colts",16,362,22.6,1448,90.5,3866,241.6,5314,332.1
"Green Bay Packers",16,369,23.1,1805,112.8,3539,221.2,5344,334
"Los Angeles Chargers",16,426,26.6,1917,119.8,3578,223.6,5495,343.4
"Chicago Bears",16,370,23.1,1814,113.4,3705,231.6,5519,344.9
"New York Giants",16,357,22.3,1782,111.4,3807,237.9,5589,349.3
"Arizona Cardinals",16,367,22.9,2008,125.5,3623,226.4,5631,351.9
"Buffalo Bills",16,375,23.4,1914,119.6,3726,232.9,5640,352.5
"New England Patriots",16,353,22.1,2103,131.4,3557,222.3,5660,353.8
"Kansas City Chiefs",16,362,22.6,1954,122.1,3779,236.2,5733,358.3
"Cleveland Browns",16,419,26.2,1773,110.8,3962,247.6,5735,358.4
"Carolina Panthers",16,402,25.1,1936,121,3825,239.1,5761,360.1
"Philadelphia Eagles",16,418,26.1,2012,125.8,3798,237.4,5810,363.1
"Miami Dolphins",16,338,21.1,1862,116.4,4024,251.5,5886,367.9
"Denver Broncos",16,446,27.9,2080,130,3807,237.9,5887,367.9
"Seattle Seahawks",16,371,23.2,1529,95.6,4560,285,6089,380.6
"Dallas Cowboys",16,473,29.6,2541,158.8,3642,227.6,6183,386.4
"New York Jets",16,457,28.6,1792,112,4092,255.8,6201,387.6
"Las Vegas Raiders",16,478,29.9,2013,125.8,4212,263.3,6227,389.1
"Cincinnati Bengals",16,424,26.5,2368,148,3859,241.2,6225,389.2
"Minnesota Vikings",16,475,29.7,2151,134.4,4141,258.8,6292,393.2
"Tennessee Titans",16,439,27.4,1933,120.8,4439,277.4,6372,398.2
"Atlanta Falcons",16,414,25.9,1677,104.8,4697,293.6,6374,398.4
"Houston Texans",16,464,29,2564,160.3,4104,256.5,6664,416.5
"Jacksonville Jaguars",16,492,30.8,2452,153.3,4231,264.4,6683,417.7
"Detroit Lions",16,519,32.4,2158,134.9,4558,284.9,6716,419.8
