"Team","3rd Att","3rd Md","4th Att","4th Md","Rush 1st","Rush 1st%","Scrm Plys","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD Allowed","INT","1st","1st%","Sck","Rush Att","Rush Yds","YPC","Rush TD Allowed"
"ARI",24,11,1,1,17,30.9,132,68,45,66.2,6.9,468,3,2,25,36.8,9,55,219,4,3
"ATL",23,8,3,0,13,24.5,119,63,34,54,4.2,267,4,2,19,30.2,3,53,238,4.5,0
"BAL",33,17,5,2,5,13.2,129,85,55,64.7,4.8,412,2,1,26,30.6,6,38,138,3.6,0
"BUF",20,8,1,1,7,16.3,92,46,30,65.2,6.6,302,2,3,17,37,3,43,227,5.3,0
"CAR",26,9,0,0,17,28.8,122,55,37,67.3,5.4,298,1,1,17,30.9,8,59,264,4.5,4
"CHI",31,17,3,2,13,19.7,128,61,41,67.2,9.1,554,4,0,20,32.8,1,66,212,3.2,2
"CIN",28,13,0,0,23,29.9,142,62,40,64.5,6.2,381,3,1,21,33.9,3,77,384,5,2
"CLE",29,6,1,0,5,12.2,107,62,29,46.8,4.3,267,1,1,9,14.5,4,41,130,3.2,0
"DAL",26,6,6,4,10,22.7,111,57,29,50.9,3.8,214,1,5,11,19.3,10,44,172,3.9,0
"DEN",21,8,2,2,16,30.8,121,65,47,72.3,7.2,466,4,1,22,33.8,4,52,183,3.5,2
"DET",25,10,2,1,13,27.1,129,80,53,66.2,6.7,537,4,1,28,35,1,48,172,3.6,2
"GB",28,9,6,4,23,31.1,148,69,43,62.3,6.1,424,2,2,22,31.9,5,74,333,4.5,2
"HOU",27,14,0,0,13,23.6,114,55,42,76.4,7,382,1,1,21,38.2,4,55,236,4.3,6
"IND",31,12,5,3,12,19.7,148,79,54,68.4,7.3,574,4,1,28,35.4,8,61,157,2.6,2
"JAX",25,6,7,3,11,22.9,133,80,53,66.2,6.4,513,3,2,24,30,5,48,166,3.5,1
"KC",27,8,5,1,9,17.3,134,77,45,58.4,5.8,447,1,0,25,32.5,5,52,192,3.7,1
"LAC",22,10,2,1,15,27.8,128,69,48,69.6,9.6,666,4,1,32,46.4,5,54,211,3.9,3
"LAR",18,4,0,0,11,23.9,100,51,33,64.7,5.9,301,1,0,18,35.3,3,46,244,5.3,3
"LV",24,12,4,3,15,26.3,132,71,58,81.7,6.1,433,5,0,28,39.4,4,57,277,4.9,2
"MIA",30,16,3,1,27,41.5,147,75,54,72,5.3,400,2,1,20,26.7,7,65,321,4.9,4
"MIN",31,12,2,2,24,29.6,143,57,39,68.4,6,340,3,1,13,22.8,5,81,332,4.1,3
"NE",23,8,1,0,12,21.8,122,63,43,68.2,6.3,398,2,1,23,36.5,4,55,242,4.4,2
"NO",26,6,1,1,9,22,115,67,38,56.7,4.8,320,1,3,16,23.9,7,41,204,5,0
"NYG",39,19,2,1,26,26.5,193,93,59,63.4,7.2,671,3,0,32,34.4,2,98,414,4.2,6
"NYJ",31,14,0,0,16,24.2,151,79,60,76,5.9,465,3,3,27,34.2,6,66,231,3.5,0
"PHI",25,11,5,2,5,16.1,133,98,66,67.4,6.6,652,7,1,37,37.8,4,31,104,3.4,0
"PIT",29,11,3,1,15,21.7,147,69,41,59.4,6,413,3,1,25,36.2,9,69,386,5.6,2
"SEA",28,17,4,2,13,19.4,142,73,52,71.2,8.9,650,3,1,34,46.6,2,67,194,2.9,4
"SF",41,15,5,2,14,32.6,185,134,87,64.9,4.6,616,2,5,32,23.9,8,43,159,3.7,2
"TB",27,12,0,0,7,21.2,114,73,49,67.1,6.8,497,3,3,24,32.9,8,33,108,3.3,1
"TEN",30,9,3,3,6,12.5,129,74,50,67.6,7.6,563,3,1,26,35.1,7,48,130,2.7,0
"WAS",26,8,3,2,14,29.2,120,62,39,62.9,6.3,391,3,1,17,27.4,10,48,218,4.5,1
