"Team","3rd Att","3rd Md","4th Att","4th Md","Rush 1st","Rush 1st%","Scrm Plys"
"HOU",206,89,19,11,135,25.8,1101
"PIT",232,86,24,13,144,28.9,1116
"TEN",210,77,24,14,90,24.5,1039
"CAR",217,82,21,12,112,23.6,1028
"MIA",231,95,18,11,106,24.9,1081
"NYG",226,90,23,15,126,25.6,1137
"DAL",223,76,26,16,99,23.1,1082
"MIN",214,78,30,15,131,27.6,1152
"BAL",201,70,18,11,81,21.4,1033
"WAS",229,111,20,12,101,23.5,1065
"TB",226,87,28,13,94,25.7,1093
"BUF",214,66,35,16,108,24.4,1014
"PHI",217,93,29,14,115,25.1,1065
"ARI",207,79,30,14,109,25.6,1028
"LAC",216,107,22,7,144,28.3,1103
"NO",240,89,21,9,84,19.7,1064
"CHI",211,81,24,12,116,24,1009
"DEN",225,101,26,11,99,22.4,1039
"DET",204,92,14,9,135,26.1,1092
"CLE",219,86,25,16,108,24.7,1056
"JAX",221,95,21,14,124,25.2,1068
"NYJ",223,99,21,13,129,24.6,1145
"ATL",217,105,22,11,143,27.6,1114
"IND",210,85,21,12,101,24,1050
"NE",211,77,32,17,111,23.9,1038
"CIN",221,92,18,7,107,26.3,1075
"LV",230,91,29,21,109,23.6,1103
"KC",199,80,31,19,121,28.9,1060
"LAR",223,92,32,17,111,25.1,1118
"GB",203,87,33,15,120,30.4,1037
"SF",220,88,25,11,97,22.1,1043
"SEA",224,88,31,13,124,24.4,1201
