"Team","Rush Att","Rush Yds","YPC","Rush TD Allowed","Rush 1st","Rush 1st%"
"SF",43,159,3.7,2,14,32.6
"CLE",41,130,3.2,0,5,12.2
"DAL",44,172,3.9,0,10,22.7
"PHI",31,104,3.4,0,5,16.1
"ATL",53,238,4.5,0,13,24.5
"BAL",38,138,3.6,0,5,13.2
"TB",33,108,3.3,1,7,21.2
"NYG",98,414,4.2,6,26,26.5
"LAR",46,244,5.3,3,11,23.9
"DET",48,172,3.6,2,13,27.1
"LAC",54,211,3.9,3,15,27.8
"NO",41,204,5,0,9,22
"BUF",43,227,5.3,0,7,16.3
"TEN",48,130,2.7,0,6,12.5
"ARI",55,219,4,3,17,30.9
"GB",74,333,4.5,2,23,31.1
"JAX",48,166,3.5,1,11,22.9
"CAR",59,264,4.5,4,17,28.8
"WAS",48,218,4.5,1,14,29.2
"MIA",65,321,4.9,4,27,41.5
"HOU",55,236,4.3,6,13,23.6
"IND",61,157,2.6,2,12,19.7
"NE",55,242,4.4,2,12,21.8
"CHI",66,212,3.2,2,13,19.7
"DEN",52,183,3.5,2,16,30.8
"KC",52,192,3.7,1,9,17.3
"LV",57,277,4.9,2,15,26.3
"NYJ",66,231,3.5,0,16,24.2
"SEA",67,194,2.9,4,13,19.4
"CIN",77,384,5,2,23,29.9
"PIT",69,386,5.6,2,15,21.7
"MIN",81,332,4.1,3,24,29.6
