"Team","Pass Att","Cmp","Cmp %","Yds/Att","Pass Yds","Pass TD","INT","Rate","1st","1st%","20+ Yd Rec","40+ Yd Rec","Lng Rec","Sck","SckY","Rec","Rec Yards","Yds/Rec","20+","40+","Lng","Rec 1st","Rec 1st%","Rec FUM","Rush Att","Rush Yds","YPC","Rush TD","20+ Yd Rush","40+ Yd Rush","Rush Lng","Rush 1st","Rush 1st%","Rush FUM","3rd Att","3rd Md","4th Att","4th Md","Scrm Plys"
"ARI",664,433,65.2,6,3966,17,17,79.2,189,28.5,"40","3","77 ",46,340,433,3966,9.2,40,3,"77",189,43.6,4,434,1873,4.3,15,9,2,"45",115,26.5,11,233,82,41,18,1144
"ATL",415,257,61.9,7,2927,17,9,87.7,148,35.7,"37","5","75 ",37,228,257,2927,11.4,37,5,"75T",148,57.6,4,559,2718,4.9,17,17,4,"44",152,27.2,8,196,82,18,9,1011
"BAL",488,300,61.5,6.6,3202,19,13,82.5,149,30.5,"33","6","75 ",38,162,300,3202,10.7,33,6,"75T",149,49.7,6,526,2720,5.2,14,18,3,"79T",167,31.8,9,218,91,20,8,1052
"BUF",574,361,62.9,7.5,4291,35,14,95.8,212,36.9,"51","12","98 ",33,162,361,4291,11.9,51,12,"98",212,58.7,3,430,2232,5.2,15,20,2,"44T",128,29.8,12,193,97,13,7,1037
"CAR",457,267,58.4,7.1,3246,16,13,80.2,138,30.2,"49","12","75 ",36,250,267,3246,12.2,49,12,"75",138,51.7,4,483,2210,4.6,16,15,3,"60T",119,24.6,10,202,64,21,12,976
"CHI",377,223,59.2,6.9,2598,19,15,80.3,109,28.9,"38","7","56 ",58,379,223,2598,11.6,38,7,"56",109,48.9,6,558,3014,5.4,18,20,8,"67",148,26.5,10,220,90,25,8,993
"CIN",610,418,68.5,7.4,4520,35,12,101,221,36.2,"54","10","60 ",44,280,418,4520,10.8,54,10,"60",221,52.9,2,399,1528,3.8,14,7,1,"40",96,24.1,0,206,95,12,3,1053
"CLE",540,335,62,6.9,3710,19,12,84.9,182,33.7,"44","5","55 ",44,266,335,3710,11.1,44,5,"55",182,54.3,3,532,2490,4.7,19,21,1,"41",142,26.7,4,231,88,42,23,1116
"DAL",556,355,63.8,7,3911,28,18,87.9,194,34.9,"50","5","68 ",27,175,355,3911,11,50,5,"68T",194,54.6,2,531,2298,4.3,24,17,3,"57",129,24.3,2,231,105,19,10,1114
"DEN",571,345,60.4,7,4007,18,15,81.2,166,29.1,"55","12","67 ",63,415,345,4007,11.6,55,12,"67",166,48.1,1,444,1935,4.4,11,7,1,"52",105,23.6,10,230,67,24,12,1078
"DET",588,383,65.1,7.6,4444,29,7,99.3,228,38.8,"57","12","81 ",24,163,383,4444,11.6,57,12,"81",228,59.5,2,480,2179,4.5,23,12,7,"58",114,23.8,5,211,86,37,20,1092
"GB",563,364,64.6,6.9,3890,27,12,91.9,186,33,"55","7","63 ",32,258,364,3890,10.7,56,7,"63",186,51.1,8,456,2113,4.6,12,10,1,"46T",116,25.4,5,200,79,31,12,1051
"HOU",579,352,60.8,6.3,3642,20,19,76.8,159,27.5,"55","7","58 ",38,298,352,3642,10.4,55,7,"58",159,45.2,2,398,1476,3.7,7,7,2,"75",90,22.6,10,221,67,26,13,1015
"IND",604,398,65.9,6.4,3854,17,20,79.2,193,32,"41","4","49 ",60,422,398,3854,9.7,41,4,"49",193,48.5,8,439,1866,4.2,8,9,1,"66T",91,20.7,8,228,75,26,12,1103
"JAX",596,394,66.1,7,4148,25,9,93.9,208,34.9,"55","3","59 ",28,189,394,4148,10.5,55,3,"59",208,52.8,2,448,2116,4.7,16,15,6,"62",114,25.4,9,215,90,27,14,1072
"KC",651,435,66.8,8.1,5250,41,12,104.7,272,41.8,"73","13","67 ",26,188,435,5250,12.1,73,13,"67",272,62.5,5,417,1970,4.7,18,10,1,"52",105,25.2,8,193,94,12,9,1094
"LAC",711,485,68.2,6.7,4791,26,10,93.3,232,32.6,"50","7","55 ",39,207,485,4791,9.9,49,7,"55T",232,47.8,6,404,1524,3.8,15,6,2,"72T",93,23,6,257,112,29,15,1154
"LAR",531,347,65.4,6.6,3506,16,15,82.3,181,34.1,"38","4","75 ",59,398,346,3478,10,37,4,"75",180,52,2,411,1661,4,15,8,1,"42",89,21.6,5,211,83,19,15,1001
"LV",586,359,61.3,7.1,4182,28,17,86.7,193,32.9,"58","10","60 ",35,248,359,4182,11.6,58,10,"60",193,53.8,5,428,2059,4.8,12,9,2,"86T",122,28.5,5,208,83,24,13,1049
"MIA",584,368,63,8.2,4765,30,15,95,220,37.7,"62","14","84 ",35,254,368,4765,13,62,14,"84",220,59.8,3,390,1686,4.3,12,10,1,"67",93,23.8,5,196,71,24,13,1009
"MIN",672,448,66.7,7.2,4818,30,15,93.1,244,36.3,"50","10","66 ",47,334,448,4818,10.8,49,10,"66",244,54.5,3,404,1661,4.1,18,5,3,"81",93,23,5,226,93,19,9,1123
"NE",540,358,66.3,7.1,3815,19,14,87.7,166,30.7,"57","9","53 ",41,279,358,3815,10.7,57,9,"53",166,46.4,7,425,1812,4.3,12,11,2,"49",98,23.1,8,215,75,13,5,1006
"NO",512,338,66,7.8,3969,24,14,93.6,181,35.4,"45","13","68 ",38,277,338,3969,11.7,45,13,"68",181,53.6,7,465,1982,4.3,12,7,3,"60",103,22.2,8,219,88,11,4,1015
"NYG",520,346,66.5,6.6,3431,17,6,91.1,170,32.7,"28","5","65 ",49,274,346,3431,9.9,28,5,"65",170,49.1,4,520,2519,4.8,21,15,2,"68",150,28.8,5,212,78,21,10,1089
"NYJ",627,357,56.9,6.4,4040,15,14,75,191,30.5,"47","10","79 ",42,317,357,4040,11.3,47,10,"79",191,53.5,6,405,1686,4.2,13,11,2,"62",79,19.5,4,240,83,28,11,1074
"PHI",536,350,65.3,8.1,4364,25,9,99,195,36.4,"63","13","78 ",44,259,350,4364,12.5,63,13,"78",195,55.7,6,544,2509,4.6,32,17,2,"42T",161,29.6,7,222,102,32,22,1124
"PIT",571,364,63.8,6.4,3661,12,14,78.7,189,33.1,"44","3","57 ",38,250,364,3661,10.1,44,3,"57",189,51.9,2,500,2073,4.2,16,8,0,"36",129,25.8,6,236,106,15,11,1109
"SEA",573,399,69.6,7.5,4282,30,12,100,206,36,"50","6","54 ",46,348,399,4282,10.7,50,6,"54",206,51.6,4,425,2042,4.8,12,18,4,"74",106,24.9,5,201,76,21,12,1044
"SF",512,338,66,7.9,4049,30,9,102.2,188,36.7,"56","6","57 ",31,193,338,4049,12,56,6,"57",188,55.6,4,504,2360,4.7,20,19,4,"71",132,26.2,7,211,95,17,7,1047
"TB",751,499,66.4,6.3,4746,26,10,89.8,240,32,"50","8","63 ",22,160,499,4746,9.5,49,8,"63",240,48.1,5,386,1308,3.4,5,3,0,"35",79,20.5,5,246,92,27,15,1159
"TEN",456,285,62.5,7.1,3227,16,11,85.3,153,33.6,"41","11","69 ",49,313,285,3227,11.3,41,11,"69T",153,53.7,2,487,2131,4.4,16,13,4,"56",104,21.4,7,219,80,17,9,992
"WAS",554,344,62.1,6.8,3783,24,16,84.7,184,33.2,"46","10","75 ",48,311,344,3783,11,46,10,"75",184,53.5,1,538,2143,4,9,8,0,"33",124,23,8,230,81,25,12,1140
